texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
diseño sin duda elegante fabuloso práctico funcional,positivo,"['diseñ', 'dud', 'eleg', 'fabul', 'practic', 'funcional']",diseñ dud eleg fabul practic funcional,positivo,positivo
llegó estado tiempo buenísimo recomiendo perfecto,positivo,"['lleg', 'tiemp', 'buenisim', 'recom', 'perfect']",lleg tiemp buenisim recom perfect,positivo,positivo
inútil bastante malo diseño incómodo desastroso,negativo,"['inutil', 'bastant', 'mal', 'diseñ', 'incomod', 'desastr']",inutil bastant mal diseñ incomod desastr,negativo,negativo
realmente sirve temporal pasable emergencia solución,neutro,"['realment', 'sirv', 'temporal', 'pasabl', 'emergent', 'solucion']",realment sirv temporal pasabl emergent solucion,neutro,neutro
pobre construcción materiales baratos totalmente frágil,negativo,"['pobr', 'construccion', 'material', 'barat', 'total', 'fragil']",pobr construccion material barat total fragil,negativo,negativo
muy compra vida arrepentido nefasto peor,negativo,"['compr', 'vid', 'arrepent', 'nefast', 'peor']",compr vid arrepent nefast peor,negativo,negativo
endeble rompe fácil construcción espantoso calidad,negativo,"['endebl', 'romp', 'facil', 'construccion', 'espant', 'calid']",endebl romp facil construccion espant calid,negativo,negativo
evitar inseguro abominable producto peligroso,negativo,"['evit', 'insegur', 'abomin', 'product', 'peligr']",evit insegur abomin product peligr,negativo,negativo
no pésimo funciona sin duda producto hecho mal,negativo,"['pesim', 'funcion', 'dud', 'product', 'hech', 'mal']",pesim funcion dud product hech mal,negativo,negativo
comprar definitivamente satisfecho volveré tremendamente,positivo,"['compr', 'definit', 'satisfech', 'volv', 'tremend']",compr definit satisfech volv tremend,positivo,positivo
increíble empaquetado perfecto bien servicio rápido,positivo,"['increibl', 'empaquet', 'perfect', 'bien', 'servici', 'rap']",increibl empaquet perfect bien servici rap,positivo,positivo
fantástico mejor volveré año definitivamente compra,positivo,"['fantast', 'mejor', 'volv', 'año', 'definit', 'compr']",fantast mejor volv año definit compr,positivo,positivo
feliz supera descripción extraordinario compra muy,positivo,"['feliz', 'super', 'descripcion', 'extraordinari', 'compr']",feliz super descripcion extraordinari compr,positivo,positivo
compra nefasto vida arrepentido peor,negativo,"['compr', 'nefast', 'vid', 'arrepent', 'peor']",compr nefast vid arrepent peor,negativo,negativo
calidad inversión maravilloso pena alta vale,positivo,"['calid', 'inversion', 'maravill', 'pen', 'alta', 'val']",calid inversion maravill pen alta val,positivo,positivo
aceptable algo aunque más completo esperaba,neutro,"['acept', 'aunqu', 'complet', 'esper']",acept aunqu complet esper,neutro,neutro
muy no sirve muy propósito compra insatisfecho,negativo,"['sirv', 'proposit', 'compr', 'insatisfech']",sirv proposit compr insatisfech,negativo,negativo
básico extraordinario nada adecuado propósito,neutro,"['basic', 'extraordinari', 'adecu', 'proposit']",basic extraordinari adecu proposit,neutro,neutro
formidable vendedor honesto ciertamente cumple promesas,positivo,"['formid', 'vendedor', 'honest', 'ciert', 'cumpl', 'promes']",formid vendedor honest ciert cumpl promes,positivo,positivo
sirve emergencia solución temporal pasable,neutro,"['sirv', 'emergent', 'solucion', 'temporal', 'pasabl']",sirv emergent solucion temporal pasabl,neutro,neutro
promedio ni muy bueno ni malo,neutro,"['promedi', 'buen', 'mal']",promedi buen mal,neutro,neutro
suficiente cubre necesidades mínimas aceptable,neutro,"['suficient', 'cubr', 'neces', 'minim', 'acept']",suficient cubr neces minim acept,neutro,neutro
recomiendo dinero pérdida tiempo no,negativo,"['recom', 'diner', 'perd', 'tiemp']",recom diner perd tiemp,negativo,negativo
cumple no decepcionante publicidad promete engañosa,negativo,"['cumpl', 'decepcion', 'public', 'promet', 'engañ']",cumpl decepcion public promet engañ,negativo,negativo
pagado para precio razonable correcto,neutro,"['pag', 'preci', 'razon', 'correct']",pag preci razon correct,neutro,neutro
peligroso inseguro evitar abominable producto,negativo,"['peligr', 'insegur', 'evit', 'abomin', 'product']",peligr insegur evit abomin product,negativo,negativo
llegó dañado realmente tarde servicio horrible malo,negativo,"['lleg', 'dañ', 'realment', 'tard', 'servici', 'horribl', 'mal']",lleg dañ realment tard servici horribl mal,negativo,negativo
uso perfecto brillante solución bastante problema diario,positivo,"['uso', 'perfect', 'brillant', 'solucion', 'bastant', 'problem', 'diari']",uso perfect brillant solucion bastant problem diari,positivo,positivo
inversión mejor recomiendo ampliamente hecho sensacional,positivo,"['inversion', 'mejor', 'recom', 'ampli', 'hech', 'sensacional']",inversion mejor recom ampli hech sensacional,positivo,positivo
pasable temporal solución ciertamente sirve emergencia,neutro,"['pasabl', 'temporal', 'solucion', 'ciert', 'sirv', 'emergent']",pasabl temporal solucion ciert sirv emergent,neutro,neutro
construcción espantoso calidad fácil endeble rompe,negativo,"['construccion', 'espant', 'calid', 'facil', 'endebl', 'romp']",construccion espant calid facil endebl romp,negativo,negativo
experiencia aquí nunca más compraré terrible,negativo,"['experient', 'aqu', 'nunc', 'compr', 'terribl']",experient aqu nunc compr terribl,negativo,negativo
inversión recomiendo mejor ampliamente ciertamente hecho sensacional,positivo,"['inversion', 'recom', 'mejor', 'ampli', 'ciert', 'hech', 'sensacional']",inversion recom mejor ampli ciert hech sensacional,positivo,positivo
horrible total nada descripción estafa,negativo,"['horribl', 'total', 'descripcion', 'estaf']",horribl total descripcion estaf,negativo,negativo
recomiendo no tiempo pérdida dinero,negativo,"['recom', 'tiemp', 'perd', 'diner']",recom tiemp perd diner,negativo,negativo
rompió muy calidad uso primer mala decepcionante,negativo,"['romp', 'calid', 'uso', 'prim', 'mal', 'decepcion']",romp calid uso prim mal decepcion,negativo,negativo
desproporcionado precio injusto calidad inaceptable,negativo,"['desproporcion', 'preci', 'injust', 'calid', 'inacept']",desproporcion preci injust calid inacept,negativo,negativo
falsificado imitación barata totalmente producto fraudulento,negativo,"['falsific', 'imit', 'barat', 'total', 'product', 'fraudulent']",falsific imit barat total product fraudulent,negativo,negativo
estrellas cinco exactamente sin duda esperaba perfecto,positivo,"['estrell', 'cinc', 'exact', 'dud', 'esper', 'perfect']",estrell cinc exact dud esper perfect,positivo,positivo
vida arrepentido peor compra nefasto,negativo,"['vid', 'arrepent', 'peor', 'compr', 'nefast']",vid arrepent peor compr nefast,negativo,negativo
genial perfectamente cumple funciones satisfecho,positivo,"['genial', 'perfect', 'cumpl', 'funcion', 'satisfech']",genial perfect cumpl funcion satisfech,positivo,positivo
definitivamente compra satisfecho muy expectativas superó,positivo,"['definit', 'compr', 'satisfech', 'expect', 'super']",definit compr satisfech expect super,positivo,positivo
recomiendo producto precio absolutamente excelente totalmente calidad,positivo,"['recom', 'product', 'preci', 'absolut', 'excelent', 'total', 'calid']",recom product preci absolut excelent total calid,positivo,positivo
magnífico calidad excepcional sin duda producto premium,positivo,"['magnif', 'calid', 'excepcional', 'dud', 'product', 'premium']",magnif calid excepcional dud product premium,positivo,positivo
cumple promete decepcionante no engañosa totalmente publicidad,negativo,"['cumpl', 'promet', 'decepcion', 'engañ', 'total', 'public']",cumpl promet decepcion engañ total public,negativo,negativo
decente funciona sin problemas particular,neutro,"['decent', 'funcion', 'problem', 'particul']",decent funcion problem particul,neutro,neutro
feliz muy extraordinario supera descripción compra,positivo,"['feliz', 'extraordinari', 'super', 'descripcion', 'compr']",feliz extraordinari super descripcion compr,positivo,positivo
adecuado nada extraordinario básico propósito,neutro,"['adecu', 'extraordinari', 'basic', 'proposit']",adecu extraordinari basic proposit,neutro,neutro
exactamente estrellas cinco esperaba perfecto,positivo,"['exact', 'estrell', 'cinc', 'esper', 'perfect']",exact estrell cinc esper perfect,positivo,positivo
formidable cumple promesas honesto vendedor,positivo,"['formid', 'cumpl', 'promes', 'honest', 'vendedor']",formid cumpl promes honest vendedor,positivo,positivo
pagado para razonable correcto precio,neutro,"['pag', 'razon', 'correct', 'preci']",pag razon correct preci,neutro,neutro
nada adecuado básico propósito extraordinario,neutro,"['adecu', 'basic', 'proposit', 'extraordinari']",adecu basic proposit extraordinari,neutro,neutro
rápido increíble perfecto servicio totalmente bien empaquetado,positivo,"['rap', 'increibl', 'perfect', 'servici', 'total', 'bien', 'empaquet']",rap increibl perfect servici total bien empaquet,positivo,positivo
sirve pasable emergencia temporal muy solución,neutro,"['sirv', 'pasabl', 'emergent', 'temporal', 'solucion']",sirv pasabl emergent temporal solucion,neutro,neutro
mal hecho no producto funciona pésimo,negativo,"['mal', 'hech', 'product', 'funcion', 'pesim']",mal hech product funcion pesim,negativo,negativo
satisfecho compra superó realmente muy expectativas,positivo,"['satisfech', 'compr', 'super', 'realment', 'expect']",satisfech compr super realment expect,positivo,positivo
malísimo funciona mal sin duda desde inicio defectuoso,negativo,"['malisim', 'funcion', 'mal', 'dud', 'inici', 'defectu']",malisim funcion mal dud inici defectu,negativo,negativo
malo incómodo desastroso inútil diseño,negativo,"['mal', 'incomod', 'desastr', 'inutil', 'diseñ']",mal incomod desastr inutil diseñ,negativo,negativo
servicio atención nulo deplorable cliente,negativo,"['servici', 'atencion', 'nul', 'deplor', 'client']",servici atencion nul deplor client,negativo,negativo
problemas particular funciona sin decente,neutro,"['problem', 'particul', 'funcion', 'decent']",problem particul funcion decent,neutro,neutro
satisfecho funciones genial perfectamente cumple,positivo,"['satisfech', 'funcion', 'genial', 'perfect', 'cumpl']",satisfech funcion genial perfect cumpl,positivo,positivo
no recomiendo pérdida dinero tiempo,negativo,"['recom', 'perd', 'diner', 'tiemp']",recom perd diner tiemp,negativo,negativo
caro producto bastante mediocre lamentable sobrevalorado,negativo,"['car', 'product', 'bastant', 'mediocr', 'lament', 'sobrevalor']",car product bastant mediocr lament sobrevalor,negativo,negativo
inaceptable precio calidad desproporcionado injusto,negativo,"['inacept', 'preci', 'calid', 'desproporcion', 'injust']",inacept preci calid desproporcion injust,negativo,negativo
horrible total nada estafa descripción,negativo,"['horribl', 'total', 'estaf', 'descripcion']",horribl total estaf descripcion,negativo,negativo
justo buscaba muy contento espectacular muy,positivo,"['just', 'busc', 'content', 'espectacul']",just busc content espectacul,positivo,positivo
feliz descripción supera extraordinario compra muy,positivo,"['feliz', 'descripcion', 'super', 'extraordinari', 'compr']",feliz descripcion super extraordinari compr,positivo,positivo
razonable correcto para precio pagado,neutro,"['razon', 'correct', 'preci', 'pag']",razon correct preci pag,neutro,neutro
esperada cumple función básica normal,neutro,"['esper', 'cumpl', 'funcion', 'basic', 'normal']",esper cumpl funcion basic normal,neutro,neutro
pérdida tiempo dinero recomiendo no,negativo,"['perd', 'tiemp', 'diner', 'recom']",perd tiemp diner recom,negativo,negativo
bastante rápido increíble perfecto servicio bien empaquetado,positivo,"['bastant', 'rap', 'increibl', 'perfect', 'servici', 'bien', 'empaquet']",bastant rap increibl perfect servici bien empaquet,positivo,positivo
más destacable sin descripción cumple,neutro,"['destac', 'descripcion', 'cumpl']",destac descripcion cumpl,neutro,neutro
estafa horrible nada total descripción,negativo,"['estaf', 'horribl', 'total', 'descripcion']",estaf horribl total descripcion,negativo,negativo
calidad relación estupendo insuperable precio,positivo,"['calid', 'relacion', 'estupend', 'insuper', 'preci']",calid relacion estupend insuper preci,positivo,positivo
nada básico adecuado extraordinario propósito,neutro,"['basic', 'adecu', 'extraordinari', 'proposit']",basic adecu extraordinari proposit,neutro,neutro
muy ciertamente compra extraordinario supera descripción feliz,positivo,"['ciert', 'compr', 'extraordinari', 'super', 'descripcion', 'feliz']",ciert compr extraordinari super descripcion feliz,positivo,positivo
cubre necesidades mínimas bastante aceptable suficiente,neutro,"['cubr', 'neces', 'minim', 'bastant', 'acept', 'suficient']",cubr neces minim bastant acept suficient,neutro,neutro
esperaba cinco perfecto exactamente estrellas,positivo,"['esper', 'cinc', 'perfect', 'exact', 'estrell']",esper cinc perfect exact estrell,positivo,positivo
está producto cumple bien nada especial,neutro,"['product', 'cumpl', 'bien', 'especial']",product cumpl bien especial,neutro,neutro
construcción calidad impresionante excelente durabilidad,positivo,"['construccion', 'calid', 'impresion', 'excelent', 'durabil']",construccion calid impresion excelent durabil,positivo,positivo
uso brillante problema totalmente solución perfecto diario,positivo,"['uso', 'brillant', 'problem', 'total', 'solucion', 'perfect', 'diari']",uso brillant problem total solucion perfect diari,positivo,positivo
fantástico mejor volveré año definitivamente compra,positivo,"['fantast', 'mejor', 'volv', 'año', 'definit', 'compr']",fantast mejor volv año definit compr,positivo,positivo
